#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.181351E+00   0.112574E+07   0.111923E+07   0.147401E+00   0.238889E+01   0.404866E+05   0.111986E+07   0.112472E+07   0.111986E+07  -0.266691E-01   0.591551E+06   0.591472E+06   0.144885E+00
   0.188037E+00   0.108299E+07   0.107737E+07  -0.260650E+00   0.213782E+01   0.368149E+05   0.107742E+07   0.108211E+07   0.107742E+07  -0.256583E-01   0.569134E+06   0.569064E+06   0.123502E+00
   0.194723E+00   0.104383E+07   0.103899E+07  -0.748536E+00   0.192162E+01   0.335934E+05   0.103855E+07   0.104308E+07   0.103855E+07  -0.247326E-01   0.548602E+06   0.548540E+06   0.106160E+00
   0.201410E+00   0.100378E+07   0.999438E+06  -0.118860E+00   0.172731E+01   0.306285E+05   0.998738E+06   0.100310E+07   0.998738E+06  -0.237845E-01   0.527574E+06   0.527517E+06   0.945692E-01
   0.208096E+00   0.960812E+06   0.956652E+06   0.444511E+00   0.154883E+01   0.278350E+05   0.955979E+06   0.960161E+06   0.955979E+06  -0.227663E-01   0.504989E+06   0.504934E+06   0.883791E-01
   0.214782E+00   0.915499E+06   0.911278E+06   0.121077E+00   0.138527E+01   0.252142E+05   0.910848E+06   0.914838E+06   0.910848E+06  -0.216915E-01   0.481151E+06   0.481096E+06   0.857703E-01
   0.221469E+00   0.870189E+06   0.865804E+06  -0.319595E-01   0.123832E+01   0.228129E+05   0.865704E+06   0.869502E+06   0.865704E+06  -0.206164E-01   0.457306E+06   0.457250E+06   0.844027E-01
   0.228155E+00   0.827732E+06   0.823225E+06   0.140347E+00   0.110980E+01   0.206807E+05   0.823409E+06   0.827026E+06   0.823409E+06  -0.196092E-01   0.434966E+06   0.434909E+06   0.823125E-01
   0.234841E+00   0.790288E+06   0.785798E+06  -0.388171E-02   0.100008E+01   0.188401E+05   0.786127E+06   0.789585E+06   0.786127E+06  -0.187213E-01   0.415273E+06   0.415218E+06   0.784640E-01
   0.241528E+00   0.758623E+06   0.754315E+06  -0.100495E+00   0.907595E+00   0.172759E+05   0.754626E+06   0.757948E+06   0.754626E+06  -0.179711E-01   0.398633E+06   0.398581E+06   0.728529E-01
   0.248214E+00   0.732040E+06   0.728038E+06   0.146455E+00   0.829272E+00   0.159416E+05   0.728204E+06   0.731414E+06   0.728204E+06  -0.173419E-01   0.384677E+06   0.384627E+06   0.662375E-01
   0.254901E+00   0.708849E+06   0.705197E+06   0.130462E+00   0.761463E+00   0.147766E+05   0.705166E+06   0.708277E+06   0.705166E+06  -0.167933E-01   0.372507E+06   0.372462E+06   0.596780E-01
   0.261587E+00   0.687093E+06   0.683754E+06  -0.162835E+00   0.700874E+00   0.137236E+05   0.683552E+06   0.686570E+06   0.683552E+06  -0.162785E-01   0.361090E+06   0.361047E+06   0.540873E-01
   0.268273E+00   0.665238E+06   0.662118E+06  -0.222613E+00   0.645194E+00   0.127425E+05   0.661825E+06   0.664749E+06   0.661825E+06  -0.157611E-01   0.349613E+06   0.349573E+06   0.499420E-01
   0.274960E+00   0.642582E+06   0.639572E+06  -0.605596E-01   0.593279E+00   0.118139E+05   0.639283E+06   0.642110E+06   0.639283E+06  -0.152243E-01   0.337706E+06   0.337667E+06   0.472125E-01
   0.281646E+00   0.619296E+06   0.616310E+06  -0.733780E-01   0.544942E+00   0.109371E+05   0.616102E+06   0.618828E+06   0.616102E+06  -0.146722E-01   0.325461E+06   0.325422E+06   0.454828E-01
   0.288332E+00   0.596164E+06   0.593162E+06  -0.581575E-01   0.500522E+00   0.101217E+05   0.593067E+06   0.595694E+06   0.593067E+06  -0.141237E-01   0.313293E+06   0.313255E+06   0.441743E-01
   0.295019E+00   0.574157E+06   0.571148E+06   0.470192E-01   0.460428E+00   0.937855E+04   0.571155E+06   0.573686E+06   0.571155E+06  -0.136018E-01   0.301719E+06   0.301681E+06   0.427720E-01
