#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   121   0.334386E+04  -0.346095E+02   0.160020E-04  -0.346095E+02   0.956551E+00  -0.984630E-06   0.160020E-04  -0.984630E-06   0.916404E-07
   122   0.337759E+04  -0.351585E+02   0.171183E-04  -0.351585E+02   0.965395E+00  -0.991187E-06   0.171183E-04  -0.991187E-06   0.910106E-07
   123   0.341139E+04  -0.356985E+02   0.181943E-04  -0.356985E+02   0.973844E+00  -0.996411E-06   0.181943E-04  -0.996411E-06   0.903865E-07
   124   0.344527E+04  -0.362266E+02   0.192317E-04  -0.362266E+02   0.981972E+00  -0.100026E-05   0.192317E-04  -0.100026E-05   0.897681E-07
   125   0.347914E+04  -0.367449E+02   0.202323E-04  -0.367449E+02   0.989705E+00  -0.100269E-05   0.202323E-04  -0.100269E-05   0.891553E-07
   126   0.351309E+04  -0.372527E+02   0.211979E-04  -0.372527E+02   0.997117E+00  -0.100366E-05   0.211979E-04  -0.100366E-05   0.885481E-07
   127   0.354702E+04  -0.377493E+02   0.221303E-04  -0.377493E+02   0.100406E+01  -0.100313E-05   0.221303E-04  -0.100313E-05   0.879464E-07
   128   0.358096E+04  -0.382340E+02   0.230312E-04  -0.382340E+02   0.101068E+01  -0.100106E-05   0.230312E-04  -0.100106E-05   0.873503E-07
   129   0.361496E+04  -0.387058E+02   0.239023E-04  -0.387058E+02   0.101683E+01  -0.997396E-06   0.239023E-04  -0.997396E-06   0.867595E-07
   130   0.364896E+04  -0.391643E+02   0.247456E-04  -0.391643E+02   0.102251E+01  -0.992109E-06   0.247456E-04  -0.992109E-06   0.861743E-07
   131   0.368294E+04  -0.396107E+02   0.255624E-04  -0.396107E+02   0.102787E+01  -0.985183E-06   0.255624E-04  -0.985183E-06   0.855944E-07
   132   0.371700E+04  -0.400422E+02   0.263537E-04  -0.400422E+02   0.103276E+01  -0.976737E-06   0.263537E-04  -0.976737E-06   0.850198E-07
   133   0.375098E+04  -0.404610E+02   0.271199E-04  -0.404610E+02   0.103725E+01  -0.966919E-06   0.271199E-04  -0.966919E-06   0.844505E-07
   134   0.378495E+04  -0.408627E+02   0.278616E-04  -0.408627E+02   0.104135E+01  -0.955878E-06   0.278616E-04  -0.955878E-06   0.838865E-07
   135   0.381892E+04  -0.412503E+02   0.285794E-04  -0.412503E+02   0.104496E+01  -0.943764E-06   0.285794E-04  -0.943764E-06   0.833276E-07
   136   0.385273E+04  -0.416201E+02   0.292738E-04  -0.416201E+02   0.104810E+01  -0.930725E-06   0.292738E-04  -0.930725E-06   0.827739E-07
   137   0.388655E+04  -0.419744E+02   0.299454E-04  -0.419744E+02   0.105083E+01  -0.916911E-06   0.299454E-04  -0.916911E-06   0.822252E-07
   138   0.392029E+04  -0.423117E+02   0.305947E-04  -0.423117E+02   0.105308E+01  -0.902470E-06   0.305947E-04  -0.902470E-06   0.816816E-07
   139   0.395381E+04  -0.426314E+02   0.312222E-04  -0.426314E+02   0.105500E+01  -0.887552E-06   0.312222E-04  -0.887552E-06   0.811430E-07
   140   0.398740E+04  -0.429341E+02   0.318287E-04  -0.429341E+02   0.105636E+01  -0.872305E-06   0.318287E-04  -0.872305E-06   0.806093E-07
   141   0.402077E+04  -0.432177E+02   0.324145E-04  -0.432177E+02   0.105724E+01  -0.856879E-06   0.324145E-04  -0.856879E-06   0.800805E-07
   142   0.405415E+04  -0.434830E+02   0.329803E-04  -0.434830E+02   0.105770E+01  -0.841422E-06   0.329803E-04  -0.841422E-06   0.795566E-07
   143   0.408746E+04  -0.437300E+02   0.335266E-04  -0.437300E+02   0.105775E+01  -0.826084E-06   0.335266E-04  -0.826084E-06   0.790374E-07
   144   0.412055E+04  -0.439580E+02   0.340540E-04  -0.439580E+02   0.105731E+01  -0.811013E-06   0.340540E-04  -0.811013E-06   0.785230E-07
   145   0.415349E+04  -0.441662E+02   0.345630E-04  -0.441662E+02   0.105653E+01  -0.796359E-06   0.345630E-04  -0.796359E-06   0.780132E-07
   146   0.418652E+04  -0.443548E+02   0.350541E-04  -0.443548E+02   0.105518E+01  -0.782271E-06   0.350541E-04  -0.782271E-06   0.775081E-07
   147   0.421919E+04  -0.445222E+02   0.355281E-04  -0.445222E+02   0.105348E+01  -0.768897E-06   0.355281E-04  -0.768897E-06   0.770076E-07
   148   0.425171E+04  -0.446700E+02   0.359853E-04  -0.446700E+02   0.105129E+01  -0.756387E-06   0.359853E-04  -0.756387E-06   0.765116E-07
   149   0.428418E+04  -0.447967E+02   0.364263E-04  -0.447967E+02   0.104867E+01  -0.744890E-06   0.364263E-04  -0.744890E-06   0.760202E-07
   150   0.431636E+04  -0.449001E+02   0.368518E-04  -0.449001E+02   0.104571E+01  -0.734555E-06   0.368518E-04  -0.734555E-06   0.755331E-07
   151   0.434840E+04  -0.449833E+02   0.372622E-04  -0.449833E+02   0.104231E+01  -0.725491E-06   0.372622E-04  -0.725491E-06   0.750505E-07
   152   0.438015E+04  -0.450447E+02   0.376575E-04  -0.450447E+02   0.103842E+01  -0.717654E-06   0.376575E-04  -0.717654E-06   0.745722E-07
   153   0.441178E+04  -0.450820E+02   0.380377E-04  -0.450820E+02   0.103416E+01  -0.710959E-06   0.380377E-04  -0.710959E-06   0.740982E-07
   154   0.444320E+04  -0.450974E+02   0.384029E-04  -0.450974E+02   0.102954E+01  -0.705321E-06   0.384029E-04  -0.705321E-06   0.736285E-07
   155   0.447442E+04  -0.450903E+02   0.387530E-04  -0.450903E+02   0.102456E+01  -0.700657E-06   0.387530E-04  -0.700657E-06   0.731631E-07
   156   0.450529E+04  -0.450605E+02   0.390879E-04  -0.450605E+02   0.101920E+01  -0.696882E-06   0.390879E-04  -0.696882E-06   0.727019E-07
   157   0.453610E+04  -0.450065E+02   0.394078E-04  -0.450065E+02   0.101348E+01  -0.693911E-06   0.394078E-04  -0.693911E-06   0.722448E-07
   158   0.456665E+04  -0.449291E+02   0.397126E-04  -0.449291E+02   0.100745E+01  -0.691661E-06   0.397126E-04  -0.691661E-06   0.717919E-07
   159   0.459692E+04  -0.448282E+02   0.400022E-04  -0.448282E+02   0.100096E+01  -0.690047E-06   0.400022E-04  -0.690047E-06   0.713431E-07
   160   0.462700E+04  -0.447023E+02   0.402767E-04  -0.447023E+02   0.994171E+00  -0.688984E-06   0.402767E-04  -0.688984E-06   0.708984E-07
   161   0.465688E+04  -0.445529E+02   0.405360E-04  -0.445529E+02   0.987140E+00  -0.688388E-06   0.405360E-04  -0.688388E-06   0.704577E-07
   162   0.468650E+04  -0.443799E+02   0.407802E-04  -0.443799E+02   0.979719E+00  -0.688175E-06   0.407802E-04  -0.688175E-06   0.700210E-07
   163   0.471601E+04  -0.441818E+02   0.410092E-04  -0.441818E+02   0.971979E+00  -0.688260E-06   0.410092E-04  -0.688260E-06   0.695882E-07
   164   0.474510E+04  -0.439601E+02   0.412230E-04  -0.439601E+02   0.963990E+00  -0.688559E-06   0.412230E-04  -0.688559E-06   0.691594E-07
   165   0.477409E+04  -0.437125E+02   0.414215E-04  -0.437125E+02   0.955674E+00  -0.688988E-06   0.414215E-04  -0.688988E-06   0.687345E-07
   166   0.480281E+04  -0.434405E+02   0.416049E-04  -0.434405E+02   0.947177E+00  -0.689462E-06   0.416049E-04  -0.689462E-06   0.683134E-07
   167   0.483136E+04  -0.431447E+02   0.417730E-04  -0.431447E+02   0.938273E+00  -0.689897E-06   0.417730E-04  -0.689897E-06   0.678961E-07
   168   0.485950E+04  -0.428230E+02   0.419259E-04  -0.428230E+02   0.929328E+00  -0.690209E-06   0.419259E-04  -0.690209E-06   0.674827E-07
   169   0.488738E+04  -0.424753E+02   0.420635E-04  -0.424753E+02   0.920044E+00  -0.690312E-06   0.420635E-04  -0.690312E-06   0.670729E-07
   170   0.491502E+04  -0.421030E+02   0.421859E-04  -0.421030E+02   0.910638E+00  -0.690124E-06   0.421859E-04  -0.690124E-06   0.666669E-07
   171   0.494226E+04  -0.417040E+02   0.422930E-04  -0.417040E+02   0.901109E+00  -0.689559E-06   0.422930E-04  -0.689559E-06   0.662645E-07
   172   0.496917E+04  -0.412796E+02   0.423848E-04  -0.412796E+02   0.891377E+00  -0.688533E-06   0.423848E-04  -0.688533E-06   0.658658E-07
   173   0.499569E+04  -0.408298E+02   0.424613E-04  -0.408298E+02   0.881439E+00  -0.686962E-06   0.424613E-04  -0.686962E-06   0.654707E-07
   174   0.502197E+04  -0.403546E+02   0.425224E-04  -0.403546E+02   0.871590E+00  -0.684761E-06   0.425224E-04  -0.684761E-06   0.650791E-07
