#           k/h    P           
 0.87779653E+00 0.70651115E+02
 0.89552867E+00 0.67502518E+02
 0.91362000E+00 0.64487076E+02
 0.93207598E+00 0.61599575E+02
 0.95090556E+00 0.58835068E+02
 0.97011465E+00 0.56188774E+02
 0.98971266E+00 0.53656059E+02
 0.10097067E+01 0.51232449E+02
 0.10301036E+01 0.48913620E+02
 0.10509136E+01 0.46695389E+02
 0.10721428E+01 0.44573723E+02
 0.10938021E+01 0.42544727E+02
 0.11158978E+01 0.40604645E+02
 0.11384410E+01 0.38749847E+02
 0.11614385E+01 0.36976841E+02
 0.11849015E+01 0.35282253E+02
 0.12088375E+01 0.33662838E+02
 0.12332582E+01 0.32115471E+02
 0.12581712E+01 0.30637135E+02
 0.12835884E+01 0.29224890E+02
 0.13095180E+01 0.27875854E+02
 0.13359727E+01 0.26587261E+02
 0.13629605E+01 0.25356464E+02
 0.13904947E+01 0.24180933E+02
 0.14185839E+01 0.23058245E+02
 0.14472418E+01 0.21986082E+02
 0.14764773E+01 0.20962227E+02
 0.15063047E+01 0.19984558E+02
 0.15367334E+01 0.19051043E+02
 0.15677782E+01 0.18159742E+02
 0.15994486E+01 0.17308796E+02
 0.16317604E+01 0.16496426E+02
 0.16647232E+01 0.15720929E+02
 0.16983536E+01 0.14980681E+02
 0.17326634E+01 0.14274124E+02
 0.17676648E+01 0.13599771E+02
 0.18033748E+01 0.12956244E+02
 0.18398044E+01 0.12342247E+02
 0.18769718E+01 0.11756528E+02
 0.19148883E+01 0.11197879E+02
 0.19535724E+01 0.10665139E+02
 0.19930363E+01 0.10157188E+02
 0.20332992E+01 0.96729469E+01
 0.20743735E+01 0.92113800E+01
 0.21162796E+01 0.87714872E+01
 0.21590302E+01 0.83523111E+01
 0.22026465E+01 0.79529285E+01
 0.22471418E+01 0.75724549E+01
 0.22925382E+01 0.72100396E+01
 0.23388493E+01 0.68648667E+01
 0.23860984E+01 0.65361533E+01
 0.24342995E+01 0.62231488E+01
